date,returns
2022-09-02,-0.024864692024486046
2022-09-06,-0.01127744522898999
2022-09-07,0.038542393885766746
2022-09-08,0.011795147694896313
2022-09-09,0.03713358067086259
2022-09-12,0.022470019423461718
2022-09-13,-0.09807338550224232
2022-09-14,0.011320231273013848
2022-09-15,-0.027971432040180377
2022-09-16,-0.013296866971535426
2022-09-19,0.012836571285051335
2022-09-20,-0.01924316272266191
2022-09-21,-0.035022541572982235
2022-09-22,-0.020735347464466036
2022-09-23,-0.03351425374729056
2022-09-26,-0.014478360072856744
2022-09-27,-0.001719383495875415
2022-09-28,0.03956426771892163
2022-09-29,-0.04995406970791183
2022-09-30,-0.03202327588144116
2022-10-03,0.049344153818728254
2022-10-04,0.06202451573419099
2022-10-05,-0.0025495969117952377
2022-10-06,-0.01811798365609041
